Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),5,1048576,32,32,0,0,SEQUENTIAL,READ,64,1,40163.4,39809.6,39950.7,40030.4,40177.9,40848.6,40848.6,40848.6,40848.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),5,1048576,32,32,0,0,SEQUENTIAL,WRITE,64,1,42693,30731.5,42655.9,44654.3,47478.2,47945,47945,47945,47945,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),5,1048576,32,32,0,0,RANDOM,READ,64,0,1497.24,1414.53,1517.62,1517.66,1518.02,1518.39,1518.39,1518.39,1518.39,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),5,1048576,32,32,0,0,RANDOM,WRITE,64,0,1198.92,1185.73,1201.13,1201.55,1202.3,1203.9,1203.9,1203.9,1203.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),5,1048576,32,31,0,0,SEQUENTIAL,READ,64,1,44168.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,691.023,646.694,699.279,699.887,700.811,708.444,708.444,708.444,708.444,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),5,1048576,32,31,0,0,SEQUENTIAL,WRITE,64,1,19605.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1233.06,1220.25,1230.68,1236.78,1236.89,1240.7,1240.7,1240.7,1240.7,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),5,1048576,32,31,0,0,RANDOM,READ,64,0,1294.74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,170.426,167.706,168.635,169.971,170.579,175.241,175.241,175.241,175.241,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),5,1048576,32,31,0,0,RANDOM,WRITE,64,0,1090.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,206.286,201.145,206.681,207.477,207.601,208.528,208.528,208.528,208.528,ns/access,0,0,0,0,N/A,,
