Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,1536000,32,32,0,0,SEQUENTIAL,READ,64,1,56158.7,56158.7,56158.7,56158.7,56158.7,56158.7,56158.7,56158.7,56158.7,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,1536000,32,32,0,0,SEQUENTIAL,WRITE,64,1,41005.2,41005.2,41005.2,41005.2,41005.2,41005.2,41005.2,41005.2,41005.2,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,1536000,32,32,0,0,RANDOM,READ,64,0,1203.23,1203.23,1203.23,1203.23,1203.23,1203.23,1203.23,1203.23,1203.23,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,1536000,32,32,0,0,RANDOM,WRITE,64,0,1219.55,1219.55,1219.55,1219.55,1219.55,1219.55,1219.55,1219.55,1219.55,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,1536000,32,31,0,0,SEQUENTIAL,READ,64,1,71649.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,846.104,846.104,846.104,846.104,846.104,846.104,846.104,846.104,846.104,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,1536000,32,31,0,0,SEQUENTIAL,WRITE,64,1,29772.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,561.92,561.92,561.92,561.92,561.92,561.92,561.92,561.92,561.92,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,1536000,32,31,0,0,RANDOM,READ,64,0,937.188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,205.371,205.371,205.371,205.371,205.371,205.371,205.371,205.371,205.371,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,1536000,32,31,0,0,RANDOM,WRITE,64,0,1118.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,200.86,200.86,200.86,200.86,200.86,200.86,200.86,200.86,200.86,ns/access,0,0,0,0,N/A,,
