Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,1920000,32,32,0,0,SEQUENTIAL,READ,64,1,54211.6,54211.6,54211.6,54211.6,54211.6,54211.6,54211.6,54211.6,54211.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,1920000,32,32,0,0,SEQUENTIAL,WRITE,64,1,20247.9,20247.9,20247.9,20247.9,20247.9,20247.9,20247.9,20247.9,20247.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,1920000,32,32,0,0,RANDOM,READ,64,0,955.358,955.358,955.358,955.358,955.358,955.358,955.358,955.358,955.358,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,1920000,32,32,0,0,RANDOM,WRITE,64,0,1040.45,1040.45,1040.45,1040.45,1040.45,1040.45,1040.45,1040.45,1040.45,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,1920000,32,31,0,0,SEQUENTIAL,READ,64,1,55968.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,509.024,509.024,509.024,509.024,509.024,509.024,509.024,509.024,509.024,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,1920000,32,31,0,0,SEQUENTIAL,WRITE,64,1,22036.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,611.781,611.781,611.781,611.781,611.781,611.781,611.781,611.781,611.781,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,1920000,32,31,0,0,RANDOM,READ,64,0,881.618,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,254.462,254.462,254.462,254.462,254.462,254.462,254.462,254.462,254.462,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,1920000,32,31,0,0,RANDOM,WRITE,64,0,899.193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,242.231,242.231,242.231,242.231,242.231,242.231,242.231,242.231,242.231,ns/access,0,0,0,0,N/A,,
