Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),5,524288,32,32,0,0,SEQUENTIAL,READ,64,1,66717.3,45705.8,67538.5,68306,72076.8,79959.4,79959.4,79959.4,79959.4,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),5,524288,32,32,0,0,SEQUENTIAL,WRITE,64,1,33230.1,32841,32856,32962.3,33076.3,34414.7,34414.7,34414.7,34414.7,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),5,524288,32,32,0,0,RANDOM,READ,64,0,2027.23,1995.16,2022.88,2023.37,2040.39,2054.34,2054.34,2054.34,2054.34,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),5,524288,32,32,0,0,RANDOM,WRITE,64,0,1871.03,1772.57,1895.54,1895.56,1895.7,1895.79,1895.79,1895.79,1895.79,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),5,524288,32,31,0,0,SEQUENTIAL,READ,64,1,68231.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,552.642,546.082,546.148,546.347,553.391,571.241,571.241,571.241,571.241,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),5,524288,32,31,0,0,SEQUENTIAL,WRITE,64,1,32209.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,569.098,561.627,561.944,562.207,562.739,596.974,596.974,596.974,596.974,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),5,524288,32,31,0,0,RANDOM,READ,64,0,1821.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,120.012,119.24,119.245,119.303,119.312,122.958,122.958,122.958,122.958,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),5,524288,32,31,0,0,RANDOM,WRITE,64,0,1451.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,151.483,151.383,151.403,151.416,151.506,151.707,151.707,151.707,151.707,ns/access,0,0,0,0,N/A,,
