Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,524288,32,32,0,0,SEQUENTIAL,READ,64,1,35842.4,35842.4,35842.4,35842.4,35842.4,35842.4,35842.4,35842.4,35842.4,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,524288,32,32,0,0,SEQUENTIAL,WRITE,64,1,10770.3,10770.3,10770.3,10770.3,10770.3,10770.3,10770.3,10770.3,10770.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,524288,32,32,0,0,RANDOM,READ,64,0,1596.89,1596.89,1596.89,1596.89,1596.89,1596.89,1596.89,1596.89,1596.89,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,524288,32,32,0,0,RANDOM,WRITE,64,0,996.829,996.829,996.829,996.829,996.829,996.829,996.829,996.829,996.829,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,524288,32,31,0,0,SEQUENTIAL,READ,64,1,35743.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,981.088,981.088,981.088,981.088,981.088,981.088,981.088,981.088,981.088,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,524288,32,31,0,0,SEQUENTIAL,WRITE,64,1,10750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,684.648,684.648,684.648,684.648,684.648,684.648,684.648,684.648,684.648,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,524288,32,31,0,0,RANDOM,READ,64,0,1631.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,191.53,191.53,191.53,191.53,191.53,191.53,191.53,191.53,191.53,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,524288,32,31,0,0,RANDOM,WRITE,64,0,998.628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,265.27,265.27,265.27,265.27,265.27,265.27,265.27,265.27,265.27,ns/access,0,0,0,0,N/A,,
