Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,7340032,32,32,0,0,SEQUENTIAL,READ,64,1,26197.3,26197.3,26197.3,26197.3,26197.3,26197.3,26197.3,26197.3,26197.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,7340032,32,32,0,0,SEQUENTIAL,WRITE,64,1,14511.7,14511.7,14511.7,14511.7,14511.7,14511.7,14511.7,14511.7,14511.7,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,7340032,32,32,0,0,RANDOM,READ,64,0,322.59,322.59,322.59,322.59,322.59,322.59,322.59,322.59,322.59,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,7340032,32,32,0,0,RANDOM,WRITE,64,0,237.585,237.585,237.585,237.585,237.585,237.585,237.585,237.585,237.585,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,7340032,32,31,0,0,SEQUENTIAL,READ,64,1,20502.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,3595.96,3595.96,3595.96,3595.96,3595.96,3595.96,3595.96,3595.96,3595.96,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,7340032,32,31,0,0,SEQUENTIAL,WRITE,64,1,18932.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,3225.94,3225.94,3225.94,3225.94,3225.94,3225.94,3225.94,3225.94,3225.94,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,7340032,32,31,0,0,RANDOM,READ,64,0,280.423,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,660.519,660.519,660.519,660.519,660.519,660.519,660.519,660.519,660.519,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,7340032,32,31,0,0,RANDOM,WRITE,64,0,226.576,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,788.008,788.008,788.008,788.008,788.008,788.008,788.008,788.008,788.008,ns/access,0,0,0,0,N/A,,
