Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,5242880,32,32,0,0,SEQUENTIAL,READ,64,1,9089.31,9089.31,9089.31,9089.31,9089.31,9089.31,9089.31,9089.31,9089.31,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,5242880,32,32,0,0,SEQUENTIAL,WRITE,64,1,6208.41,6208.41,6208.41,6208.41,6208.41,6208.41,6208.41,6208.41,6208.41,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,5242880,32,32,0,0,RANDOM,READ,64,0,190.837,190.837,190.837,190.837,190.837,190.837,190.837,190.837,190.837,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,5242880,32,32,0,0,RANDOM,WRITE,64,0,174.526,174.526,174.526,174.526,174.526,174.526,174.526,174.526,174.526,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,5242880,32,31,0,0,SEQUENTIAL,READ,64,1,9184.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,4936.62,4936.62,4936.62,4936.62,4936.62,4936.62,4936.62,4936.62,4936.62,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,5242880,32,31,0,0,SEQUENTIAL,WRITE,64,1,6182.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,4774.44,4774.44,4774.44,4774.44,4774.44,4774.44,4774.44,4774.44,4774.44,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,5242880,32,31,0,0,RANDOM,READ,64,0,181.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1325.76,1325.76,1325.76,1325.76,1325.76,1325.76,1325.76,1325.76,1325.76,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,5242880,32,31,0,0,RANDOM,WRITE,64,0,159.299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1662.79,1662.79,1662.79,1662.79,1662.79,1662.79,1662.79,1662.79,1662.79,ns/access,0,0,0,0,N/A,,
