Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,6291456,32,32,0,0,SEQUENTIAL,READ,64,1,9369.01,9369.01,9369.01,9369.01,9369.01,9369.01,9369.01,9369.01,9369.01,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,6291456,32,32,0,0,SEQUENTIAL,WRITE,64,1,8057.46,8057.46,8057.46,8057.46,8057.46,8057.46,8057.46,8057.46,8057.46,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,6291456,32,32,0,0,RANDOM,READ,64,0,179.179,179.179,179.179,179.179,179.179,179.179,179.179,179.179,179.179,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,6291456,32,32,0,0,RANDOM,WRITE,64,0,167.591,167.591,167.591,167.591,167.591,167.591,167.591,167.591,167.591,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,6291456,32,31,0,0,SEQUENTIAL,READ,64,1,9395.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,5177.4,5177.4,5177.4,5177.4,5177.4,5177.4,5177.4,5177.4,5177.4,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,6291456,32,31,0,0,SEQUENTIAL,WRITE,64,1,7073.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,3847.91,3847.91,3847.91,3847.91,3847.91,3847.91,3847.91,3847.91,3847.91,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,6291456,32,31,0,0,RANDOM,READ,64,0,175.845,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,636.822,636.822,636.822,636.822,636.822,636.822,636.822,636.822,636.822,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,6291456,32,31,0,0,RANDOM,WRITE,64,0,157.061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,759.688,759.688,759.688,759.688,759.688,759.688,759.688,759.688,759.688,ns/access,0,0,0,0,N/A,,
