Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,1048576,32,32,0,0,SEQUENTIAL,READ,64,1,38083.5,38083.5,38083.5,38083.5,38083.5,38083.5,38083.5,38083.5,38083.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,1048576,32,32,0,0,SEQUENTIAL,WRITE,64,1,11386,11386,11386,11386,11386,11386,11386,11386,11386,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,1048576,32,32,0,0,RANDOM,READ,64,0,1222.86,1222.86,1222.86,1222.86,1222.86,1222.86,1222.86,1222.86,1222.86,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,1048576,32,32,0,0,RANDOM,WRITE,64,0,855.842,855.842,855.842,855.842,855.842,855.842,855.842,855.842,855.842,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,1048576,32,31,0,0,SEQUENTIAL,READ,64,1,37907.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,835.541,835.541,835.541,835.541,835.541,835.541,835.541,835.541,835.541,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,1048576,32,31,0,0,SEQUENTIAL,WRITE,64,1,11091.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,936.45,936.45,936.45,936.45,936.45,936.45,936.45,936.45,936.45,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,1048576,32,31,0,0,RANDOM,READ,64,0,1190.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,242.787,242.787,242.787,242.787,242.787,242.787,242.787,242.787,242.787,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,1048576,32,31,0,0,RANDOM,WRITE,64,0,976.217,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,295.773,295.773,295.773,295.773,295.773,295.773,295.773,295.773,295.773,ns/access,0,0,0,0,N/A,,
