Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,1920000,32,32,0,0,SEQUENTIAL,READ,64,1,56653.3,56653.3,56653.3,56653.3,56653.3,56653.3,56653.3,56653.3,56653.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,1920000,32,32,0,0,SEQUENTIAL,WRITE,64,1,20114.8,20114.8,20114.8,20114.8,20114.8,20114.8,20114.8,20114.8,20114.8,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,1920000,32,32,0,0,RANDOM,READ,64,0,994.648,994.648,994.648,994.648,994.648,994.648,994.648,994.648,994.648,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,1920000,32,32,0,0,RANDOM,WRITE,64,0,934.644,934.644,934.644,934.644,934.644,934.644,934.644,934.644,934.644,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,1920000,32,31,0,0,SEQUENTIAL,READ,64,1,55003.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,682.979,682.979,682.979,682.979,682.979,682.979,682.979,682.979,682.979,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,1920000,32,31,0,0,SEQUENTIAL,WRITE,64,1,20029.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,1920000,32,31,0,0,RANDOM,READ,64,0,964.409,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,239.773,239.773,239.773,239.773,239.773,239.773,239.773,239.773,239.773,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,1920000,32,31,0,0,RANDOM,WRITE,64,0,905.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,255.744,255.744,255.744,255.744,255.744,255.744,255.744,255.744,255.744,ns/access,0,0,0,0,N/A,,
