Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,1536000,32,32,0,0,SEQUENTIAL,READ,64,1,56380.9,56380.9,56380.9,56380.9,56380.9,56380.9,56380.9,56380.9,56380.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,1536000,32,32,0,0,SEQUENTIAL,WRITE,64,1,19635.3,19635.3,19635.3,19635.3,19635.3,19635.3,19635.3,19635.3,19635.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,1536000,32,32,0,0,RANDOM,READ,64,0,1080.44,1080.44,1080.44,1080.44,1080.44,1080.44,1080.44,1080.44,1080.44,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,1536000,32,32,0,0,RANDOM,WRITE,64,0,997.065,997.065,997.065,997.065,997.065,997.065,997.065,997.065,997.065,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,1536000,32,31,0,0,SEQUENTIAL,READ,64,1,54457.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,710.245,710.245,710.245,710.245,710.245,710.245,710.245,710.245,710.245,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,1536000,32,31,0,0,SEQUENTIAL,WRITE,64,1,19614.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1351.47,1351.47,1351.47,1351.47,1351.47,1351.47,1351.47,1351.47,1351.47,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,1536000,32,31,0,0,RANDOM,READ,64,0,1046.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,232.402,232.402,232.402,232.402,232.402,232.402,232.402,232.402,232.402,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,1536000,32,31,0,0,RANDOM,WRITE,64,0,961.422,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,243.87,243.87,243.87,243.87,243.87,243.87,243.87,243.87,243.87,ns/access,0,0,0,0,N/A,,
