Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,1048576,32,32,0,0,SEQUENTIAL,READ,64,1,44887.5,44887.5,44887.5,44887.5,44887.5,44887.5,44887.5,44887.5,44887.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,1048576,32,32,0,0,SEQUENTIAL,WRITE,64,1,17068,17068,17068,17068,17068,17068,17068,17068,17068,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,1048576,32,32,0,0,RANDOM,READ,64,0,1307.63,1307.63,1307.63,1307.63,1307.63,1307.63,1307.63,1307.63,1307.63,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,1048576,32,32,0,0,RANDOM,WRITE,64,0,1053.67,1053.67,1053.67,1053.67,1053.67,1053.67,1053.67,1053.67,1053.67,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,1048576,32,31,0,0,SEQUENTIAL,READ,64,1,37619.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,707.713,707.713,707.713,707.713,707.713,707.713,707.713,707.713,707.713,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,1048576,32,31,0,0,SEQUENTIAL,WRITE,64,1,16567.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,826.932,826.932,826.932,826.932,826.932,826.932,826.932,826.932,826.932,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,1048576,32,31,0,0,RANDOM,READ,64,0,1212.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,208.691,208.691,208.691,208.691,208.691,208.691,208.691,208.691,208.691,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,1048576,32,31,0,0,RANDOM,WRITE,64,0,1002.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,156.491,156.491,156.491,156.491,156.491,156.491,156.491,156.491,156.491,ns/access,0,0,0,0,N/A,,
