Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,7340032,32,32,0,0,SEQUENTIAL,READ,64,1,31367.5,31367.5,31367.5,31367.5,31367.5,31367.5,31367.5,31367.5,31367.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,7340032,32,32,0,0,SEQUENTIAL,WRITE,64,1,9287.71,9287.71,9287.71,9287.71,9287.71,9287.71,9287.71,9287.71,9287.71,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,7340032,32,32,0,0,RANDOM,READ,64,0,321.766,321.766,321.766,321.766,321.766,321.766,321.766,321.766,321.766,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,7340032,32,32,0,0,RANDOM,WRITE,64,0,196.578,196.578,196.578,196.578,196.578,196.578,196.578,196.578,196.578,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,7340032,32,31,0,0,SEQUENTIAL,READ,64,1,11327,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,5909.7,5909.7,5909.7,5909.7,5909.7,5909.7,5909.7,5909.7,5909.7,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,7340032,32,31,0,0,SEQUENTIAL,WRITE,64,1,12292.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,6538.79,6538.79,6538.79,6538.79,6538.79,6538.79,6538.79,6538.79,6538.79,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,7340032,32,31,0,0,RANDOM,READ,64,0,101.007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,254.486,254.486,254.486,254.486,254.486,254.486,254.486,254.486,254.486,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,7340032,32,31,0,0,RANDOM,WRITE,64,0,206.286,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,3189.06,3189.06,3189.06,3189.06,3189.06,3189.06,3189.06,3189.06,3189.06,ns/access,0,0,0,0,N/A,,
