Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,6291456,32,32,0,0,SEQUENTIAL,READ,64,1,47779.1,47779.1,47779.1,47779.1,47779.1,47779.1,47779.1,47779.1,47779.1,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,6291456,32,32,0,0,SEQUENTIAL,WRITE,64,1,14296,14296,14296,14296,14296,14296,14296,14296,14296,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,6291456,32,32,0,0,RANDOM,READ,64,0,194.406,194.406,194.406,194.406,194.406,194.406,194.406,194.406,194.406,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,6291456,32,32,0,0,RANDOM,WRITE,64,0,304.631,304.631,304.631,304.631,304.631,304.631,304.631,304.631,304.631,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,6291456,32,31,0,0,SEQUENTIAL,READ,64,1,28277.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,3702.38,3702.38,3702.38,3702.38,3702.38,3702.38,3702.38,3702.38,3702.38,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,6291456,32,31,0,0,SEQUENTIAL,WRITE,64,1,19764.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,3511.44,3511.44,3511.44,3511.44,3511.44,3511.44,3511.44,3511.44,3511.44,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,6291456,32,31,0,0,RANDOM,READ,64,0,264.669,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,2258.62,2258.62,2258.62,2258.62,2258.62,2258.62,2258.62,2258.62,2258.62,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,6291456,32,31,0,0,RANDOM,WRITE,64,0,167.292,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,311.974,311.974,311.974,311.974,311.974,311.974,311.974,311.974,311.974,ns/access,0,0,0,0,N/A,,
