Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,1536000,32,32,0,0,SEQUENTIAL,READ,64,1,55497.6,55497.6,55497.6,55497.6,55497.6,55497.6,55497.6,55497.6,55497.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,1536000,32,32,0,0,SEQUENTIAL,WRITE,64,1,46585.5,46585.5,46585.5,46585.5,46585.5,46585.5,46585.5,46585.5,46585.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,1536000,32,32,0,0,RANDOM,READ,64,0,224.126,224.126,224.126,224.126,224.126,224.126,224.126,224.126,224.126,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,1536000,32,32,0,0,RANDOM,WRITE,64,0,838.766,838.766,838.766,838.766,838.766,838.766,838.766,838.766,838.766,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,1536000,32,31,0,0,SEQUENTIAL,READ,64,1,35738,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,675.26,675.26,675.26,675.26,675.26,675.26,675.26,675.26,675.26,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,1536000,32,31,0,0,SEQUENTIAL,WRITE,64,1,18626.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,608.942,608.942,608.942,608.942,608.942,608.942,608.942,608.942,608.942,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,1536000,32,31,0,0,RANDOM,READ,64,0,202.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,3214.95,3214.95,3214.95,3214.95,3214.95,3214.95,3214.95,3214.95,3214.95,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,1536000,32,31,0,0,RANDOM,WRITE,64,0,645.192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,426.705,426.705,426.705,426.705,426.705,426.705,426.705,426.705,426.705,ns/access,0,0,0,0,N/A,,
