Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),5,524288,32,32,0,0,SEQUENTIAL,READ,64,1,74364.8,45091.1,69051.6,71063.4,85933.8,100684,100684,100684,100684,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),5,524288,32,32,0,0,SEQUENTIAL,WRITE,64,1,33877.1,32595.7,32717,32817.9,33383.2,37871.8,37871.8,37871.8,37871.8,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),5,524288,32,32,0,0,RANDOM,READ,64,0,2016.23,1915.42,2034.12,2043.31,2043.74,2044.58,2044.58,2044.58,2044.58,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),5,524288,32,32,0,0,RANDOM,WRITE,64,0,1846.97,1695.96,1883.95,1884.46,1884.81,1885.64,1885.64,1885.64,1885.64,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),5,524288,32,31,0,0,SEQUENTIAL,READ,64,1,68510.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,549.991,531.134,546.446,546.463,547.061,578.851,578.851,578.851,578.851,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),5,524288,32,31,0,0,SEQUENTIAL,WRITE,64,1,33998.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,600.206,579.624,587.308,587.453,587.738,658.904,658.904,658.904,658.904,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),5,524288,32,31,0,0,RANDOM,READ,64,0,1691.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,131.381,124.902,124.932,127.643,131.927,147.501,147.501,147.501,147.501,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),5,524288,32,31,0,0,RANDOM,WRITE,64,0,1625.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,143.246,142.58,142.711,142.761,142.787,145.39,145.39,145.39,145.39,ns/access,0,0,0,0,N/A,,
