Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,4194304,32,32,0,0,SEQUENTIAL,READ,64,1,26007.3,26007.3,26007.3,26007.3,26007.3,26007.3,26007.3,26007.3,26007.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,4194304,32,32,0,0,SEQUENTIAL,WRITE,64,1,16563.5,16563.5,16563.5,16563.5,16563.5,16563.5,16563.5,16563.5,16563.5,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,4194304,32,32,0,0,RANDOM,READ,64,0,219.625,219.625,219.625,219.625,219.625,219.625,219.625,219.625,219.625,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,4194304,32,32,0,0,RANDOM,WRITE,64,0,210.375,210.375,210.375,210.375,210.375,210.375,210.375,210.375,210.375,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,4194304,32,31,0,0,SEQUENTIAL,READ,64,1,14412.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,8762.37,8762.37,8762.37,8762.37,8762.37,8762.37,8762.37,8762.37,8762.37,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,4194304,32,31,0,0,SEQUENTIAL,WRITE,64,1,17314.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,3240.39,3240.39,3240.39,3240.39,3240.39,3240.39,3240.39,3240.39,3240.39,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,4194304,32,31,0,0,RANDOM,READ,64,0,285.849,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1140.03,1140.03,1140.03,1140.03,1140.03,1140.03,1140.03,1140.03,1140.03,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,4194304,32,31,0,0,RANDOM,WRITE,64,0,225.135,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1436.9,1436.9,1436.9,1436.9,1436.9,1436.9,1436.9,1436.9,1436.9,ns/access,0,0,0,0,N/A,,
