Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,5242880,32,32,0,0,SEQUENTIAL,READ,64,1,20375.9,20375.9,20375.9,20375.9,20375.9,20375.9,20375.9,20375.9,20375.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,5242880,32,32,0,0,SEQUENTIAL,WRITE,64,1,12276.7,12276.7,12276.7,12276.7,12276.7,12276.7,12276.7,12276.7,12276.7,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,5242880,32,32,0,0,RANDOM,READ,64,0,300.066,300.066,300.066,300.066,300.066,300.066,300.066,300.066,300.066,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,5242880,32,32,0,0,RANDOM,WRITE,64,0,227.099,227.099,227.099,227.099,227.099,227.099,227.099,227.099,227.099,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,5242880,32,31,0,0,SEQUENTIAL,READ,64,1,32709.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,755.829,755.829,755.829,755.829,755.829,755.829,755.829,755.829,755.829,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,5242880,32,31,0,0,SEQUENTIAL,WRITE,64,1,20121.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,22703.6,22703.6,22703.6,22703.6,22703.6,22703.6,22703.6,22703.6,22703.6,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,5242880,32,31,0,0,RANDOM,READ,64,0,264.725,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,264.104,264.104,264.104,264.104,264.104,264.104,264.104,264.104,264.104,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,5242880,32,31,0,0,RANDOM,WRITE,64,0,256.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,19688.8,19688.8,19688.8,19688.8,19688.8,19688.8,19688.8,19688.8,19688.8,ns/access,0,0,0,0,N/A,,
