Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,9600000,32,32,0,0,SEQUENTIAL,READ,64,1,22088.7,22088.7,22088.7,22088.7,22088.7,22088.7,22088.7,22088.7,22088.7,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,9600000,32,32,0,0,SEQUENTIAL,WRITE,64,1,5888.18,5888.18,5888.18,5888.18,5888.18,5888.18,5888.18,5888.18,5888.18,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,9600000,32,32,0,0,RANDOM,READ,64,0,151.81,151.81,151.81,151.81,151.81,151.81,151.81,151.81,151.81,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,9600000,32,32,0,0,RANDOM,WRITE,64,0,89.7971,89.7971,89.7971,89.7971,89.7971,89.7971,89.7971,89.7971,89.7971,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,9600000,32,31,0,0,SEQUENTIAL,READ,64,1,20974.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1944.22,1944.22,1944.22,1944.22,1944.22,1944.22,1944.22,1944.22,1944.22,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,9600000,32,31,0,0,SEQUENTIAL,WRITE,64,1,5647.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1456.23,1456.23,1456.23,1456.23,1456.23,1456.23,1456.23,1456.23,1456.23,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,9600000,32,31,0,0,RANDOM,READ,64,0,140.903,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1596.73,1596.73,1596.73,1596.73,1596.73,1596.73,1596.73,1596.73,1596.73,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,9600000,32,31,0,0,RANDOM,WRITE,64,0,77.8386,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,5352.42,5352.42,5352.42,5352.42,5352.42,5352.42,5352.42,5352.42,5352.42,ns/access,0,0,0,0,N/A,,
