Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,1536000,32,32,0,0,SEQUENTIAL,READ,64,1,36357.9,36357.9,36357.9,36357.9,36357.9,36357.9,36357.9,36357.9,36357.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,1536000,32,32,0,0,SEQUENTIAL,WRITE,64,1,32758.3,32758.3,32758.3,32758.3,32758.3,32758.3,32758.3,32758.3,32758.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,1536000,32,32,0,0,RANDOM,READ,64,0,1057.06,1057.06,1057.06,1057.06,1057.06,1057.06,1057.06,1057.06,1057.06,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,1536000,32,32,0,0,RANDOM,WRITE,64,0,1017.45,1017.45,1017.45,1017.45,1017.45,1017.45,1017.45,1017.45,1017.45,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,1536000,32,31,0,0,SEQUENTIAL,READ,64,1,66681.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,696.831,696.831,696.831,696.831,696.831,696.831,696.831,696.831,696.831,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,1536000,32,31,0,0,SEQUENTIAL,WRITE,64,1,34644.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,911.059,911.059,911.059,911.059,911.059,911.059,911.059,911.059,911.059,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,1536000,32,31,0,0,RANDOM,READ,64,0,1032.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,177.787,177.787,177.787,177.787,177.787,177.787,177.787,177.787,177.787,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,1536000,32,31,0,0,RANDOM,WRITE,64,0,1003.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,182.948,182.948,182.948,182.948,182.948,182.948,182.948,182.948,182.948,ns/access,0,0,0,0,N/A,,
