Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,5242880,32,32,0,0,SEQUENTIAL,READ,64,1,15101.2,15101.2,15101.2,15101.2,15101.2,15101.2,15101.2,15101.2,15101.2,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,5242880,32,32,0,0,SEQUENTIAL,WRITE,64,1,3703.37,3703.37,3703.37,3703.37,3703.37,3703.37,3703.37,3703.37,3703.37,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,5242880,32,32,0,0,RANDOM,READ,64,0,123.245,123.245,123.245,123.245,123.245,123.245,123.245,123.245,123.245,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,5242880,32,32,0,0,RANDOM,WRITE,64,0,91.7187,91.7187,91.7187,91.7187,91.7187,91.7187,91.7187,91.7187,91.7187,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,5242880,32,31,0,0,SEQUENTIAL,READ,64,1,15983.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,3799.24,3799.24,3799.24,3799.24,3799.24,3799.24,3799.24,3799.24,3799.24,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,5242880,32,31,0,0,SEQUENTIAL,WRITE,64,1,3688.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,3412.17,3412.17,3412.17,3412.17,3412.17,3412.17,3412.17,3412.17,3412.17,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,5242880,32,31,0,0,RANDOM,READ,64,0,173.559,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,2828.52,2828.52,2828.52,2828.52,2828.52,2828.52,2828.52,2828.52,2828.52,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,5242880,32,31,0,0,RANDOM,WRITE,64,0,90.4671,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,2832.52,2832.52,2832.52,2832.52,2832.52,2832.52,2832.52,2832.52,2832.52,ns/access,0,0,0,0,N/A,,
