Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),5,1048576,32,32,0,0,SEQUENTIAL,READ,64,1,39059,29599.7,30833.3,30964.5,48791.1,55106.7,55106.7,55106.7,55106.7,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),5,1048576,32,32,0,0,SEQUENTIAL,WRITE,64,1,26063.9,19689.3,21487.7,22740.9,25543.9,40857.6,40857.6,40857.6,40857.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),5,1048576,32,32,0,0,RANDOM,READ,64,0,1498.59,1352.03,1532.47,1535.51,1536.45,1536.49,1536.49,1536.49,1536.49,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),5,1048576,32,32,0,0,RANDOM,WRITE,64,0,1332.51,1322.11,1333.68,1333.84,1335.5,1337.44,1337.44,1337.44,1337.44,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),5,1048576,32,31,0,0,SEQUENTIAL,READ,64,1,67359.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,675.927,671.524,671.653,673.848,681.248,681.363,681.363,681.363,681.363,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),5,1048576,32,31,0,0,SEQUENTIAL,WRITE,64,1,26673,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1047.42,978.904,982.353,1004.05,1036.33,1235.47,1235.47,1235.47,1235.47,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),5,1048576,32,31,0,0,RANDOM,READ,64,0,1285.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,154.955,151.413,153.123,153.42,153.577,163.241,163.241,163.241,163.241,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),5,1048576,32,31,0,0,RANDOM,WRITE,64,0,1119.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,183.348,177.904,179.643,183.658,183.731,191.804,191.804,191.804,191.804,ns/access,0,0,0,0,N/A,,
