Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,4194304,32,32,0,0,SEQUENTIAL,READ,64,1,26732.1,26732.1,26732.1,26732.1,26732.1,26732.1,26732.1,26732.1,26732.1,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,4194304,32,32,0,0,SEQUENTIAL,WRITE,64,1,7170.86,7170.86,7170.86,7170.86,7170.86,7170.86,7170.86,7170.86,7170.86,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,4194304,32,32,0,0,RANDOM,READ,64,0,298.523,298.523,298.523,298.523,298.523,298.523,298.523,298.523,298.523,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,4194304,32,32,0,0,RANDOM,WRITE,64,0,168.076,168.076,168.076,168.076,168.076,168.076,168.076,168.076,168.076,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,4194304,32,31,0,0,SEQUENTIAL,READ,64,1,27428.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1105.37,1105.37,1105.37,1105.37,1105.37,1105.37,1105.37,1105.37,1105.37,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,4194304,32,31,0,0,SEQUENTIAL,WRITE,64,1,6661.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,1359.99,1359.99,1359.99,1359.99,1359.99,1359.99,1359.99,1359.99,1359.99,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,4194304,32,31,0,0,RANDOM,READ,64,0,251.455,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,755.427,755.427,755.427,755.427,755.427,755.427,755.427,755.427,755.427,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,4194304,32,31,0,0,RANDOM,WRITE,64,0,176.917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,5842.66,5842.66,5842.66,5842.66,5842.66,5842.66,5842.66,5842.66,5842.66,ns/access,0,0,0,0,N/A,,
