Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),5,524288,32,32,0,0,SEQUENTIAL,READ,64,1,60756.9,40923.3,57479,67773.6,67920.7,69688.1,69688.1,69688.1,69688.1,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),5,524288,32,32,0,0,SEQUENTIAL,WRITE,64,1,28656,28606.2,28632.9,28645.8,28653.1,28742.3,28742.3,28742.3,28742.3,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),5,524288,32,32,0,0,RANDOM,READ,64,0,1932.76,1782.74,1961.71,1968.19,1975.17,1975.97,1975.97,1975.97,1975.97,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),5,524288,32,32,0,0,RANDOM,WRITE,64,0,1854.51,1671.93,1895.26,1901.08,1901.9,1902.39,1902.39,1902.39,1902.39,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),5,524288,32,31,0,0,SEQUENTIAL,READ,64,1,66743.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,546.496,546.057,546.421,546.539,546.643,546.82,546.82,546.82,546.82,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),5,524288,32,31,0,0,SEQUENTIAL,WRITE,64,1,32129.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,568.493,516.939,579.04,579.138,579.755,587.591,587.591,587.591,587.591,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),5,524288,32,31,0,0,RANDOM,READ,64,0,1910.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,118.28,117.793,117.796,117.912,118.653,119.244,119.244,119.244,119.244,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),5,524288,32,31,0,0,RANDOM,WRITE,64,0,1677.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,136.564,135.895,136.664,136.674,136.777,136.809,136.809,136.809,136.809,ns/access,0,0,0,0,N/A,,
