Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,6291456,32,32,0,0,SEQUENTIAL,READ,64,1,13628.9,13628.9,13628.9,13628.9,13628.9,13628.9,13628.9,13628.9,13628.9,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,6291456,32,32,0,0,SEQUENTIAL,WRITE,64,1,3958.72,3958.72,3958.72,3958.72,3958.72,3958.72,3958.72,3958.72,3958.72,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,6291456,32,32,0,0,RANDOM,READ,64,0,119.67,119.67,119.67,119.67,119.67,119.67,119.67,119.67,119.67,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,6291456,32,32,0,0,RANDOM,WRITE,64,0,63.8598,63.8598,63.8598,63.8598,63.8598,63.8598,63.8598,63.8598,63.8598,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,6291456,32,31,0,0,SEQUENTIAL,READ,64,1,15248.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,4790.93,4790.93,4790.93,4790.93,4790.93,4790.93,4790.93,4790.93,4790.93,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,6291456,32,31,0,0,SEQUENTIAL,WRITE,64,1,3810.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,4461.85,4461.85,4461.85,4461.85,4461.85,4461.85,4461.85,4461.85,4461.85,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,6291456,32,31,0,0,RANDOM,READ,64,0,119.797,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,14810.7,14810.7,14810.7,14810.7,14810.7,14810.7,14810.7,14810.7,14810.7,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,6291456,32,31,0,0,RANDOM,WRITE,64,0,52.6233,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,7775.15,7775.15,7775.15,7775.15,7775.15,7775.15,7775.15,7775.15,7775.15,ns/access,0,0,0,0,N/A,,
