Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,8388608,32,32,0,0,SEQUENTIAL,READ,64,1,21198.4,21198.4,21198.4,21198.4,21198.4,21198.4,21198.4,21198.4,21198.4,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,8388608,32,32,0,0,SEQUENTIAL,WRITE,64,1,7195.78,7195.78,7195.78,7195.78,7195.78,7195.78,7195.78,7195.78,7195.78,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,8388608,32,32,0,0,RANDOM,READ,64,0,114.698,114.698,114.698,114.698,114.698,114.698,114.698,114.698,114.698,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,8388608,32,32,0,0,RANDOM,WRITE,64,0,96.1222,96.1222,96.1222,96.1222,96.1222,96.1222,96.1222,96.1222,96.1222,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,8388608,32,31,0,0,SEQUENTIAL,READ,64,1,22602.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,5263.22,5263.22,5263.22,5263.22,5263.22,5263.22,5263.22,5263.22,5263.22,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,8388608,32,31,0,0,SEQUENTIAL,WRITE,64,1,8394.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,4950.68,4950.68,4950.68,4950.68,4950.68,4950.68,4950.68,4950.68,4950.68,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,8388608,32,31,0,0,RANDOM,READ,64,0,123.659,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,2564.08,2564.08,2564.08,2564.08,2564.08,2564.08,2564.08,2564.08,2564.08,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,8388608,32,31,0,0,RANDOM,WRITE,64,0,93.7195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,10028.5,10028.5,10028.5,10028.5,10028.5,10028.5,10028.5,10028.5,10028.5,ns/access,0,0,0,0,N/A,,
