Test Name,Iterations,Working Set Size Per Thread (KB),Total Number of Threads,Number of Load Generating Threads,NUMA Memory Node,NUMA CPU Node,Load Access Pattern,Load Read/Write Mix,Load Chunk Size (bits),Load Stride Size (chunks),Mean Load Throughput,Min Load Throughput,25th Percentile Load Throughput,Median Load Throughput,75th Percentile Load Throughput,95th Percentile Load Throughput,99th Percentile Load Throughput,Max Load Throughput,Mode Load Throughput,Throughput Units,Mean Latency,Min Latency,25th Percentile Latency,Median Latency,75th Percentile Latency,95th Percentile Latency,99th Percentile Latency,Max Latency,Mode Latency,Latency Units,NAME? Mean Power (W),NAME? Peak Power (W),NAME? Mean Power (W),NAME? Peak Power (W),Extension Info,Notes,
Test #1T (Throughput),1,3145728,32,32,0,0,SEQUENTIAL,READ,64,1,29808.6,29808.6,29808.6,29808.6,29808.6,29808.6,29808.6,29808.6,29808.6,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #2T (Throughput),1,3145728,32,32,0,0,SEQUENTIAL,WRITE,64,1,8046.06,8046.06,8046.06,8046.06,8046.06,8046.06,8046.06,8046.06,8046.06,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #3T (Throughput),1,3145728,32,32,0,0,RANDOM,READ,64,0,471.774,471.774,471.774,471.774,471.774,471.774,471.774,471.774,471.774,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #4T (Throughput),1,3145728,32,32,0,0,RANDOM,WRITE,64,0,190.649,190.649,190.649,190.649,190.649,190.649,190.649,190.649,190.649,MB/s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,,
Test #1L (Latency),1,3145728,32,31,0,0,SEQUENTIAL,READ,64,1,25322.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,741.046,741.046,741.046,741.046,741.046,741.046,741.046,741.046,741.046,ns/access,0,0,0,0,N/A,,
Test #2L (Latency),1,3145728,32,31,0,0,SEQUENTIAL,WRITE,64,1,12606.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,14312.6,14312.6,14312.6,14312.6,14312.6,14312.6,14312.6,14312.6,14312.6,ns/access,0,0,0,0,N/A,,
Test #3L (Latency),1,3145728,32,31,0,0,RANDOM,READ,64,0,391.344,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,495.941,495.941,495.941,495.941,495.941,495.941,495.941,495.941,495.941,ns/access,0,0,0,0,N/A,,
Test #4L (Latency),1,3145728,32,31,0,0,RANDOM,WRITE,64,0,336.282,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MB/s,405.883,405.883,405.883,405.883,405.883,405.883,405.883,405.883,405.883,ns/access,0,0,0,0,N/A,,
